LEFT; 7; 4 8 8 2 0 4 4|4 2 2 2 128 2 0|32 2 4 0 2 0 2|2 0 2 0 16 4 0|2 2 4 0 0 2 0|0 8 2 0 2 0 8|0 2 0 0 2 0 0
LEFT; 6; 16 0 8 2 4 0|8 2 32 0 0 16|0 2 0 0 4 0|2 4 2 2 0 0|2 0 0 0 4 2|2 0 2 2 4 0
DOWN; 5; 0 0 2 0 4|2 2 2 4 8|4 0 4 0 0|4 8 4 0 0|4 0 4 0 0
LEFT; 8; 16 2 2 0 2 2 0 8|0 0 0 2 2 0 16 16|2 2 4 4 2 2 2 2|4 0 0 0 4 0 0 0|2 0 2 0 2 32 0 4|64 0 0 4 2 4 2 4|2 0 0 2 0 0 0 8|4 4 2 4 4 0 64 0
LEFT; 9; 2 0 2 0 16 128 0 0 4|2 32 4 2 32 8 2 2 128|2 4 16 0 0 2 0 2 32|16 0 64 32 2 2 2 2 32|4 0 16 2 0 0 0 2 4|0 0 0 2 8 0 4 0 2|2 0 0 0 0 2 0 2 0|0 0 4 0 0 0 2 2 0|32 0 0 0 16 2 4 0 2
RIGHT; 6; 4 2 4 0 2 2|2 4 16 0 0 2|0 32 8 0 0 16|4 0 4 0 4 2|16 16 0 2 0 32|2 2 0 4 0 0
DOWN; 9; 0 2 32 0 0 4 2 64 8|2 0 2 2 2 16 2 0 2|4 8 2 4 8 2 2 4 2|0 16 2 2 0 4 4 0 2|2 0 2 4 128 0 16 0 0|0 4 0 0 2 0 2 4 2|0 0 2 0 8 2 0 0 0|4 2 0 0 4 0 4 2 0|2 8 0 2 0 2 2 2 2
UP; 4; 2 4 0 2|0 0 4 2|0 0 0 0|2 2 2 0
LEFT; 8; 2 0 0 2 8 0 4 16|2 0 2 0 8 16 0 2|2 0 0 0 2 0 0 0|8 4 0 0 0 2 2 16|4 256 0 2 0 0 32 0|8 0 0 4 0 2 0 0|4 2 8 16 0 0 0 2|0 8 0 256 0 8 0 2
DOWN; 4; 0 2 2 8|0 0 2 4|0 0 2 0|2 4 8 2
RIGHT; 6; 2 0 2 0 0 8|32 0 0 32 0 0|0 2 0 0 4 8|16 0 2 0 2 2|8 2 2 2 4 2|2 4 16 2 2 0
RIGHT; 6; 4 8 0 0 2 0|0 2 4 0 8 0|0 0 0 4 8 2|0 2 0 4 16 0|2 0 0 8 2 0|4 8 2 0 4 4
UP; 7; 2 0 4 0 4 2 4|2 0 2 8 0 0 2|2 2 8 0 2 8 4|0 2 16 0 0 0 0|8 4 0 0 0 4 8|128 2 16 2 2 2 2|0 0 4 0 0 8 0
RIGHT; 6; 16 8 4 0 0 2|2 0 0 0 2 4|16 2 0 2 0 2|8 2 0 4 2 16|2 0 2 16 256 2|2 0 0 0 8 0
RIGHT; 9; 8 0 2 8 0 16 0 2 2|0 2 8 2 0 0 8 0 0|2 0 0 4 0 2 2 0 4|4 8 2 0 2 2 0 2 4|4 2 0 4 16 128 2 128 8|64 0 0 0 0 16 0 2 0|0 0 0 4 2 4 4 2 0|32 0 0 4 0 2 8 0 0|0 0 2 2 2 32 0 2 8
DOWN; 6; 4 0 2 0 8 0|0 0 0 2 0 64|0 0 4 64 2 2|4 2 0 2 2 0|4 2 2 2 0 8|0 0 8 2 4 2
